order_id,customer_id,order_date,product_id,quantity,price,city,payment_method
1,354,2023-09-14,17,3,3975,Екатеринбург,Cash
2,196,2024-08-08,15,2,4494,Казань,Online
3,203,2023-10-09,20,3,5892,Москва,Online
4,410,2023-08-24,8,1,9638,Новосибирск,Cash
5,348,2024-11-06,11,2,21345,Санкт-Петербург,Online
6,226,2023-02-04,14,1,11123,Новосибирск,Cash
7,213,2023-06-29,15,2,11705,Санкт-Петербург,Card
8,426,2023-06-18,17,5,2732,Казань,Cash
9,494,2023-03-19,12,3,4773,Санкт-Петербург,Card
10,405,2024-02-09,1,4,115458,Москва,Cash
11,384,2024-11-19,4,5,26199,Казань,Online
12,346,2023-08-28,15,4,13172,Екатеринбург,Card
13,332,2023-03-06,6,5,6874,Екатеринбург,Online
14,24,2023-02-08,9,3,8189,Казань,Cash
15,199,2024-04-09,18,1,1611,Казань,Online
16,454,2024-02-29,19,5,1765,Москва,Cash
17,190,2023-08-11,11,5,2072,Екатеринбург,Cash
18,279,2024-10-22,18,2,3509,Казань,Card
19,47,2024-11-09,7,4,4609,Санкт-Петербург,Online
20,65,2024-08-01,1,5,12799,Санкт-Петербург,Card
21,169,2023-06-01,11,5,8076,Новосибирск,Card
22,409,2023-06-28,14,3,18701,Москва,Online
23,404,2023-09-01,8,1,1743,Новосибирск,Cash
24,380,2024-03-07,8,1,5847,Новосибирск,Card
25,304,2023-04-22,8,1,8844,Екатеринбург,Online
26,466,2024-11-05,11,2,24830,Новосибирск,Cash
27,434,2024-02-16,19,4,4423,Екатеринбург,Online
28,165,2024-09-14,10,1,8767,Санкт-Петербург,Card
29,281,2023-11-29,19,2,5295,Екатеринбург,Online
30,221,2023-04-12,14,5,17565,Москва,Online
31,455,2023-08-22,7,5,5022,Екатеринбург,Cash
32,161,2024-03-13,13,4,24907,Казань,Online
33,35,2023-04-04,3,3,59060,Москва,Card
34,31,2024-08-23,8,4,7605,Новосибирск,Online
35,448,2024-11-12,8,3,3502,Екатеринбург,Online
36,54,2024-08-14,5,1,47700,Новосибирск,Card
37,180,2024-07-23,18,2,1386,Казань,Card
38,499,2024-09-28,14,3,15061,Новосибирск,Online
39,137,2023-01-30,3,5,13441,Санкт-Петербург,Cash
40,446,2023-05-27,9,3,7251,Новосибирск,Online
41,47,2024-06-27,14,4,21747,Санкт-Петербург,Cash
42,160,2023-11-29,11,4,6157,Новосибирск,Online
43,317,2023-02-20,15,1,6158,Москва,Cash
44,227,2024-02-29,15,4,16914,Казань,Card
45,146,2024-11-25,14,5,15087,Новосибирск,Cash
46,203,2024-09-05,9,5,6553,Москва,Card
47,131,2023-10-24,15,2,5496,Казань,Card
48,195,2024-06-29,17,1,1558,Санкт-Петербург,Online
49,442,2023-02-13,11,5,3361,Екатеринбург,Card
50,294,2024-02-19,7,4,6629,Екатеринбург,Cash
51,411,2024-09-24,7,1,1841,Екатеринбург,Online
52,224,2024-08-26,12,3,4468,Екатеринбург,Online
53,171,2023-06-22,12,1,12125,Москва,Online
54,179,2023-12-26,4,1,79547,Санкт-Петербург,Card
55,309,2023-06-06,5,1,29194,Москва,Card
56,349,2024-08-01,10,4,10736,Новосибирск,Cash
57,227,2024-10-08,17,3,4341,Казань,Cash
58,159,2024-04-17,16,5,1107,Екатеринбург,Card
59,443,2023-04-03,13,1,3514,Новосибирск,Online
60,489,2023-02-12,4,5,60394,Екатеринбург,Online
61,78,2023-03-05,4,2,52143,Екатеринбург,Card
62,89,2023-02-10,2,3,103626,Санкт-Петербург,Online
63,82,2024-01-08,6,4,10086,Казань,Cash
64,27,2024-10-08,13,4,23246,Казань,Card
65,146,2023-09-16,9,3,10641,Новосибирск,Card
66,470,2023-12-25,6,3,11047,Казань,Online
67,159,2024-07-26,5,4,26901,Екатеринбург,Online
68,425,2024-06-23,5,3,116585,Москва,Online
69,159,2023-07-04,15,4,1597,Санкт-Петербург,Cash
70,40,2023-10-30,13,4,5507,Москва,Online
71,173,2024-09-24,10,5,10126,Санкт-Петербург,Online
72,395,2024-10-01,3,4,30218,Санкт-Петербург,Online
73,369,2023-09-01,19,4,6040,Екатеринбург,Online
74,123,2023-11-13,3,3,108617,Екатеринбург,Card
75,394,2023-10-16,17,3,4282,Екатеринбург,Online
76,71,2023-09-14,5,5,64874,Москва,Online
77,434,2024-06-12,11,4,4361,Москва,Cash
78,464,2024-06-09,12,1,9938,Санкт-Петербург,Cash
79,213,2023-02-24,14,1,12455,Екатеринбург,Online
80,115,2023-01-29,13,3,3674,Казань,Card
81,147,2024-04-28,3,3,113727,Санкт-Петербург,Online
82,10,2023-09-20,7,4,11581,Санкт-Петербург,Card
83,57,2023-10-23,15,5,18294,Санкт-Петербург,Cash
84,407,2024-09-29,6,1,5406,Екатеринбург,Card
85,9,2024-10-09,2,1,119666,Новосибирск,Online
86,1,2024-09-21,1,2,104181,Казань,Card
87,44,2024-06-20,9,5,4568,Казань,Card
88,11,2024-02-04,6,5,9812,Екатеринбург,Card
89,404,2023-03-11,7,4,5655,Казань,Card
90,23,2023-12-27,20,1,1592,Новосибирск,Cash
91,324,2023-07-06,1,2,118840,Санкт-Петербург,Card
92,406,2023-07-24,7,4,6307,Москва,Cash
93,130,2023-02-07,20,3,4378,Санкт-Петербург,Cash
94,140,2023-05-08,18,3,3219,Казань,Cash
95,499,2023-07-11,19,4,3277,Екатеринбург,Online
96,373,2024-03-10,15,4,9739,Москва,Cash
97,165,2023-04-16,2,5,117785,Москва,Cash
98,219,2023-06-20,20,3,6379,Екатеринбург,Cash
99,141,2024-10-16,9,4,7276,Москва,Card
